"What is photosynthesis?","Photosynthesis is the process plants use to convert light energy into chemical energy, usually using carbon dioxide and water."
"Explain gravity in simple terms.","Gravity is the force that pulls objects with mass toward one another, such as pulling people and objects toward Earth."
"What is the difference between weather and climate?","Weather describes short-term atmospheric conditions, while climate describes long-term patterns in a region."
"Give me three ways to stay organized.","Use a task list, keep a calendar for deadlines, and set aside a few minutes each day to review priorities."
"How do I make a strong password?","Use a long unique password or passphrase for each account and store it in a reputable password manager."
"What does CPU stand for?","CPU stands for central processing unit, the component that executes instructions and coordinates many computer operations."
"What is RAM used for?","RAM provides fast temporary storage for data and programs that the computer is actively using."
"What is a Python virtual environment?","A Python virtual environment is an isolated directory that keeps a project's Python packages separate from other projects."
"How do I create a virtual environment on Linux?","Run python3 -m venv .venv, then activate it with source .venv/bin/activate."
"What does Git do?","Git tracks changes to files over time so you can review history, create branches, and collaborate safely."
"What is a Git commit?","A commit is a saved snapshot of staged changes together with a message describing what changed."
"What is a Git branch?","A branch is an independent line of development that lets you work on changes without immediately affecting the main branch."
"What is an API?","An API is an interface that lets software systems communicate using defined requests, responses, and rules."
"What does JSON look like?","JSON represents structured data with objects, arrays, strings, numbers, booleans, and null values, such as {""name"": ""Alex"", ""active"": true}."
"What is a database?","A database is an organized system for storing and retrieving structured information."
"What is SQL?","SQL is a language used to query and manage data in relational databases."
"What is machine learning?","Machine learning is a field of computing where models learn patterns from data to make predictions or generate outputs."
"What is fine-tuning?","Fine-tuning continues training a pretrained model on a targeted dataset so it adapts to a narrower task or style."
"What is LoRA in machine learning?","LoRA is a parameter-efficient fine-tuning method that trains small low-rank adapter weights instead of updating every model parameter."
"Why use LoRA?","LoRA can reduce memory and storage requirements while still adapting a large model to a specific task."
"What is a tokenizer?","A tokenizer converts text into smaller units called tokens that a language model can process."
"What is an epoch?","An epoch is one complete pass through the training dataset."
"What is a batch size?","Batch size is the number of training examples processed together before a model update."
"What is a learning rate?","The learning rate controls how large each optimization step is during training."
"Why should I keep a validation set?","A validation set helps measure how well a model performs on examples it did not train on."
"What does overfitting mean?","Overfitting happens when a model learns the training data too specifically and performs poorly on new data."
"How can I reduce overfitting?","Use more varied data, regularization, validation checks, fewer training epochs, or a smaller adaptation capacity."
"What is inference?","Inference is the process of using a trained model to generate a prediction or response."
"What is quantization?","Quantization stores or computes model values with lower precision to reduce memory use and often improve inference efficiency."
"Why use 4-bit model loading?","Four-bit loading can greatly reduce GPU memory usage, which makes larger models easier to fine-tune or run on limited hardware."
"What is CUDA?","CUDA is NVIDIA's computing platform that allows supported software to use NVIDIA GPUs for general-purpose computation."
"What does FFmpeg do?","FFmpeg is a command-line toolkit for converting, processing, recording, and streaming audio and video."
"How can I check disk space on Linux?","Run df -h to view filesystem usage in a human-readable format."
"How can I list files in Linux?","Run ls, or use ls -la to include hidden files and detailed information."
"How can I see my current directory?","Run pwd to print the full path of the current working directory."
"How do I copy a file in Linux?","Use cp source_file destination_file."
"How do I move or rename a file in Linux?","Use mv source destination."
"How do I remove a directory recursively?","Use rm -r directory, and review the path carefully before running it."
"What does chmod do?","chmod changes file permission bits, such as whether a file can be read, written, or executed."
"What is SSH?","SSH is a secure protocol commonly used to log in to remote systems and run commands over an encrypted connection."
"What is localhost?","Localhost refers to the current machine, commonly represented by the IP address 127.0.0.1."
"What is an environment variable?","An environment variable is a named value provided to a process and commonly used for configuration."
"Why keep secrets out of Git?","Repository history can persist committed values, so passwords and access tokens should be supplied through secure configuration instead."
"What is a README file?","A README explains what a project does, how to install it, and how to use it."
"What is a requirements.txt file?","A requirements.txt file lists Python packages that can be installed with pip install -r requirements.txt."
"How should I debug a Python error?","Read the traceback from the bottom upward, identify the first relevant line in your code, and reproduce the problem with the smallest useful test."
"Why write small functions?","Small focused functions are easier to understand, test, reuse, and change."
"What is source control?","Source control records file changes over time and helps developers compare versions, collaborate, and recover earlier work."
"What is open source software?","Open source software is distributed under a license that permits people to inspect, use, and often modify the source code."
"What is a software license?","A software license defines the permissions and conditions for using, modifying, and distributing software."
